season_id,team_id,team_abbreviation,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,pie_denominador
2022,1610612737,ATL,3725.0,7994.0,42.492,1164.0,3137.0,33.57,1629.0,2009.0,73.684,903.0,3081.0,3984.0,2211.0,656.0,380.0,1117.0,1722.0,10243.0,78,9344.5
2022,1610612738,BOS,4367.0,9473.0,50.778,1471.0,4083.0,39.206,1905.0,2347.0,89.515,1115.0,3874.0,4989.0,2715.0,779.0,651.0,1542.0,2091.0,12110.0,664,11180.0
2022,1610612739,CLE,3439.0,7354.0,40.738,1006.0,2839.0,30.644,1460.0,1938.0,66.095,881.0,2959.0,3840.0,2184.0,631.0,367.0,1280.0,1516.0,9344.0,147,8553.0
2022,1610612740,NOP,3675.0,8093.0,41.906,977.0,2927.0,30.989,1693.0,2153.0,72.415,1120.0,3047.0,4167.0,2263.0,749.0,366.0,1311.0,1814.0,10020.0,-142,8819.0
2022,1610612741,CHI,3783.0,7967.0,43.242,970.0,2675.0,32.957,1564.0,1921.0,73.561,798.0,3103.0,3901.0,2185.0,674.0,378.0,1169.0,1714.0,10100.0,-19,9226.0
2022,1610612742,DAL,4054.0,8814.0,47.877,1407.0,3958.0,36.921,1731.0,2249.0,80.581,933.0,3480.0,4413.0,2382.0,720.0,401.0,1261.0,2073.0,11246.0,381,9883.0
2022,1610612743,DEN,3806.0,7939.0,44.228,1173.0,3327.0,32.321,1550.0,1956.0,73.09,849.0,3201.0,4050.0,2528.0,667.0,356.0,1355.0,1873.0,10335.0,141,9566.5
2022,1610612744,GSW,4445.0,9461.0,51.31,1576.0,4318.0,39.915,1687.0,2199.0,84.103,1066.0,3869.0,4935.0,2966.0,956.0,503.0,1620.0,2293.0,12153.0,622,11287.5
2022,1610612745,HOU,3376.0,7432.0,39.169,1146.0,3308.0,29.534,1520.0,2141.0,61.071,836.0,2812.0,3648.0,2016.0,632.0,400.0,1432.0,1783.0,9418.0,-739,7604.0
2022,1610612746,LAC,3436.0,7533.0,39.285000000000004,1087.0,2932.0,31.836,1346.0,1699.0,67.932,794.0,3004.0,3798.0,2071.0,635.0,432.0,1200.0,1615.0,9305.0,-48,8363.0
2022,1610612747,LAL,3637.0,7808.0,40.985,1052.0,3033.0,30.457,1487.0,2035.0,64.563,836.0,3053.0,3889.0,2101.0,680.0,456.0,1310.0,1794.0,9813.0,-340,8470.0
2022,1610612748,MIA,4172.0,9024.0,49.152,1393.0,3786.0,38.916,1825.0,2268.0,85.475,1060.0,3552.0,4612.0,2625.0,806.0,360.0,1539.0,2197.0,11562.0,458,10224.0
2022,1610612749,MIL,4100.0,8826.0,46.026,1351.0,3718.0,35.823,1697.0,2208.0,75.975,1005.0,3656.0,4661.0,2322.0,737.0,403.0,1341.0,1805.0,11248.0,284,10284.0
2022,1610612750,MIN,3801.0,8328.0,42.041,1343.0,3762.0,33.024,1677.0,2144.0,71.858,1002.0,3047.0,4049.0,2351.0,821.0,532.0,1345.0,2037.0,10622.0,210,9232.0
2022,1610612751,BKN,3762.0,7896.0,43.06,1041.0,2846.0,32.846000000000004,1582.0,1978.0,72.053,914.0,3037.0,3951.0,2249.0,651.0,494.0,1291.0,1856.0,10147.0,71,9111.0
2022,1610612752,NYK,3255.0,7445.0,37.612,1145.0,3193.0,30.758,1541.0,2061.0,64.287,979.0,2996.0,3975.0,1898.0,597.0,417.0,1132.0,1759.0,9196.0,39,7784.0
2022,1610612753,ORL,3283.0,7581.0,37.282000000000004,1048.0,3156.0,28.507,1319.0,1676.0,67.735,781.0,3032.0,3813.0,2032.0,588.0,407.0,1256.0,1685.0,8933.0,-675,7583.0
2022,1610612754,IND,3557.0,7697.0,39.797,1043.0,3051.0,29.415,1399.0,1827.0,66.084,966.0,2816.0,3782.0,2181.0,618.0,483.0,1249.0,1756.0,9556.0,-311,8322.5
2022,1610612755,PHI,3837.0,8229.0,45.825,1150.0,3143.0,35.84,1900.0,2319.0,80.048,836.0,3258.0,4094.0,2298.0,766.0,515.0,1273.0,1924.0,10724.0,221,9713.5
2022,1610612756,PHX,4294.0,8835.0,48.237,1126.0,3102.0,35.995,1566.0,1950.0,79.381,963.0,3474.0,4437.0,2689.0,832.0,424.0,1300.0,1996.0,11280.0,677,10747.5
2022,1610612757,POR,3294.0,7474.0,37.967,1081.0,3163.0,29.112,1413.0,1857.0,65.184,887.0,2813.0,3700.0,1951.0,694.0,382.0,1281.0,1800.0,9082.0,-823,7469.5
2022,1610612758,SAC,3487.0,7601.0,39.554,1001.0,2904.0,29.8,1523.0,1985.0,65.961,824.0,2878.0,3702.0,2036.0,630.0,383.0,1209.0,1635.0,9498.0,-404,8225.5
2022,1610612759,SAS,3757.0,8069.0,40.556,988.0,2805.0,30.506,1325.0,1762.0,65.307,958.0,3009.0,3967.0,2417.0,658.0,426.0,1123.0,1582.0,9827.0,51,9149.0
2022,1610612760,OKC,3295.0,7670.0,36.988,1053.0,3248.0,27.848,1285.0,1708.0,64.726,888.0,3032.0,3920.0,1916.0,656.0,394.0,1208.0,1576.0,8928.0,-697,7591.0
2022,1610612761,TOR,3774.0,8476.0,41.485,1110.0,3199.0,32.301,1498.0,1972.0,70.845,1218.0,2958.0,4176.0,2060.0,838.0,435.0,1172.0,1851.0,10156.0,160,8639.5
2022,1610612762,UTA,3700.0,7921.0,43.073,1303.0,3670.0,32.527,1644.0,2141.0,70.86,975.0,3277.0,4252.0,2033.0,652.0,447.0,1278.0,1759.0,10347.0,460,9265.0
2022,1610612763,MEM,4292.0,9383.0,45.809,1179.0,3344.0,35.236,1708.0,2319.0,74.376,1384.0,3508.0,4892.0,2575.0,969.0,652.0,1360.0,1979.0,11471.0,551,10500.0
2022,1610612764,WAS,3478.0,7403.0,40.466,909.0,2663.0,29.387,1481.0,1896.0,66.935,771.0,2951.0,3722.0,2140.0,553.0,433.0,1132.0,1630.0,9346.0,-308,8490.0
2022,1610612765,DET,3282.0,7603.0,37.196,964.0,2964.0,28.062,1487.0,1899.0,67.265,936.0,2762.0,3698.0,2014.0,656.0,418.0,1231.0,1871.0,9015.0,-662,7289.0
2022,1610612766,CHA,3651.0,7855.0,40.132,1177.0,3260.0,30.945999999999998,1351.0,1830.0,63.695,932.0,2904.0,3836.0,2387.0,743.0,424.0,1164.0,1712.0,9830.0,-47,8983.0
2023,1610612737,ATL,4085.0,8501.0,44.336,1013.0,2848.0,32.773,1674.0,2051.0,75.121,1028.0,3052.0,4080.0,2288.0,647.0,445.0,1188.0,1720.0,10857.0,-4,9879.5
2023,1610612738,BOS,4448.0,9351.0,50.512,1672.0,4462.0,39.611,1841.0,2267.0,85.813,1024.0,3756.0,4780.0,2793.0,658.0,572.0,1417.0,1986.0,12409.0,643,11682.0
2023,1610612739,CLE,3735.0,7718.0,44.162,1048.0,2865.0,33.157,1580.0,2034.0,70.999,878.0,2853.0,3731.0,2245.0,650.0,429.0,1235.0,1750.0,10098.0,397,9077.5
2023,1610612740,NOP,3652.0,7633.0,41.73,950.0,2629.0,31.232,1694.0,2144.0,69.018,923.0,2904.0,3827.0,2257.0,729.0,366.0,1280.0,1802.0,9948.0,171,8969.5
2023,1610612741,CHI,3674.0,7467.0,42.422,901.0,2485.0,30.872,1525.0,1882.0,69.588,732.0,2928.0,3660.0,2126.0,677.0,391.0,1177.0,1642.0,9774.0,160,9097.5
2023,1610612742,DAL,3391.0,7157.0,40.361000000000004,1293.0,3497.0,31.489,1609.0,2128.0,63.853,643.0,2653.0,3296.0,1953.0,550.0,319.0,1053.0,1766.0,9684.0,17,8217.0
2023,1610612743,DEN,4619.0,9229.0,53.664,1248.0,3313.0,40.022,1844.0,2425.0,81.498,1076.0,3557.0,4633.0,3009.0,796.0,471.0,1512.0,2014.0,12330.0,430,11748.5
2023,1610612744,GSW,4278.0,9044.0,47.419000000000004,1614.0,4281.0,37.626,1617.0,2055.0,78.76,1083.0,3430.0,4513.0,2946.0,726.0,402.0,1611.0,2189.0,11787.0,187,10627.5
2023,1610612745,HOU,3503.0,7649.0,39.408,918.0,2767.0,28.176000000000002,1639.0,2176.0,64.589,1156.0,2851.0,4007.0,1936.0,634.0,391.0,1413.0,1775.0,9563.0,-590,7886.5
2023,1610612746,LAC,3724.0,7829.0,43.433,1157.0,3042.0,34.312,1742.0,2222.0,70.862,897.0,3030.0,3927.0,2170.0,653.0,413.0,1315.0,1801.0,10347.0,41,9154.0
2023,1610612747,LAL,4376.0,9202.0,49.552,1113.0,3273.0,35.639,2152.0,2771.0,80.84,1010.0,3729.0,4739.0,2605.0,675.0,517.0,1463.0,1887.0,12017.0,-13,10994.5
2023,1610612748,MIA,4327.0,9447.0,50.501,1349.0,3841.0,38.783,2035.0,2463.0,90.792,1069.0,3410.0,4479.0,2637.0,870.0,349.0,1452.0,2097.0,12038.0,56,10567.0
2023,1610612749,MIL,3906.0,8305.0,43.364,1366.0,3715.0,33.823,1530.0,2063.0,68.546,1025.0,3407.0,4432.0,2359.0,596.0,436.0,1368.0,1692.0,10708.0,215,9808.5
2023,1610612750,MIN,3911.0,8029.0,44.949,1110.0,3066.0,33.189,1663.0,2202.0,69.432,824.0,3045.0,3869.0,2394.0,743.0,490.0,1397.0,1989.0,10595.0,-25,9391.0
2023,1610612751,BKN,3680.0,7611.0,43.617000000000004,1132.0,3035.0,33.717,1580.0,1990.0,71.463,730.0,2909.0,3639.0,2277.0,645.0,544.0,1260.0,1885.0,10072.0,-3,9054.0
2023,1610612752,NYK,3999.0,8607.0,45.15,1192.0,3443.0,33.509,1878.0,2466.0,73.561,1224.0,3296.0,4520.0,2187.0,638.0,414.0,1280.0,1961.0,11068.0,289,9571.0
2023,1610612753,ORL,3512.0,7502.0,40.869,946.0,2751.0,30.112,1698.0,2163.0,68.361,887.0,2894.0,3781.0,2025.0,655.0,412.0,1332.0,1768.0,9668.0,-204,8336.5
2023,1610612754,IND,3613.0,7711.0,40.382,1152.0,3164.0,31.195,1616.0,2045.0,67.893,875.0,2719.0,3594.0,2321.0,658.0,510.0,1288.0,1839.0,9994.0,-252,8730.5
2023,1610612755,PHI,3916.0,8178.0,46.513,1221.0,3198.0,36.849,1975.0,2349.0,81.653,877.0,3141.0,4018.0,2365.0,771.0,467.0,1312.0,1970.0,11028.0,378,10059.0
2023,1610612756,PHX,4082.0,8707.0,45.56,1145.0,3099.0,35.6,1718.0,2157.0,77.556,1121.0,3129.0,4250.0,2602.0,696.0,515.0,1310.0,2080.0,11027.0,136,9818.0
2023,1610612757,POR,3491.0,7382.0,41.248,1101.0,3024.0,31.644,1744.0,2200.0,69.156,819.0,2702.0,3521.0,2085.0,595.0,411.0,1281.0,1758.0,9827.0,-363,8438.0
2023,1610612758,SAC,4029.0,8275.0,45.37,1277.0,3502.0,33.871,1828.0,2335.0,72.94,930.0,3080.0,4010.0,2504.0,679.0,323.0,1272.0,1887.0,11163.0,312,10140.5
2023,1610612759,SAS,3717.0,8031.0,40.439,964.0,2819.0,29.905,1386.0,1871.0,64.273,1023.0,2796.0,3819.0,2351.0,611.0,351.0,1346.0,1744.0,9784.0,-877,8340.0
2023,1610612760,OKC,3784.0,8093.0,41.247,1078.0,3014.0,31.501,1703.0,2112.0,70.573,1005.0,2869.0,3874.0,2162.0,729.0,373.0,1177.0,1846.0,10349.0,200,9057.0
2023,1610612761,TOR,3645.0,7972.0,39.868,920.0,2790.0,28.792,1618.0,2084.0,67.995,1119.0,2673.0,3792.0,2057.0,822.0,454.0,1031.0,1759.0,9828.0,129,8583.5
2023,1610612762,UTA,3636.0,7731.0,40.543,1136.0,3240.0,30.061,1597.0,2050.0,66.708,1024.0,2935.0,3959.0,2223.0,533.0,448.0,1339.0,1770.0,10005.0,-113,8775.0
2023,1610612763,MEM,4006.0,8550.0,43.629,1103.0,3203.0,31.969,1655.0,2242.0,69.519,1128.0,3208.0,4336.0,2393.0,780.0,518.0,1288.0,1861.0,10770.0,303,9694.0
2023,1610612764,WAS,3595.0,7476.0,41.51,961.0,2745.0,30.069,1515.0,1937.0,67.489,810.0,2934.0,3744.0,2178.0,600.0,455.0,1214.0,1630.0,9666.0,-124,8863.5
2023,1610612765,DET,3383.0,7493.0,38.867,988.0,2838.0,29.743,1698.0,2202.0,66.41,960.0,2706.0,3666.0,1974.0,593.0,330.0,1315.0,1917.0,9452.0,-732,7524.0
2023,1610612766,CHA,3569.0,7875.0,39.602000000000004,917.0,2826.0,28.195,1537.0,2063.0,64.839,972.0,2917.0,3889.0,2154.0,677.0,456.0,1247.0,1766.0,9592.0,-601,8209.0
