player_id,Player,Salary
1374,Joe Ingles,6479000
1236,Brandon Ingram,31650600
1216,Kyrie Irving,38917057
222,Wesley Iwundu,0
1658,Frank Jackson,113114
809,Josh Jackson,0
1547,Justin Jackson,1836090
1312,Reggie Jackson,11457217
227,Justin James,0
1208,LeBron James,44474988
815,DaQuan Jeffries,0
1548,Isaiah Joe,1836090
1384,Cameron Johnson,5887899
1435,James Johnson,3841067
1434,Keldon Johnson,3873024
1427,Stanley Johnson,4022164
832,Tyler Johnson,0
236,Nikola Jokić,0
1498,Damian Jones,2298385
837,Derrick Jones Jr.,0
841,Mason Jones,0
1558,Tre Jones,1782621
1290,Tyus Jones,15000000
1319,DeAndre Jordan,10733758
1398,Cory Joseph,5155500
1611,Mfiondu Kabengele,508891
1488,Frank Kaminsky,2463490
246,Enes Kanter,0
1298,Luke Kennard,13745455
1340,Maxi Kleber,9000000
1546,Nathan Knight,1836090
1456,Kevin Knox,3000000
1495,John Konchar,2300000
1403,Furkan Korkmaz,5000000
1511,Luke Kornet,2133278
255,Rodions Kurucs,0
1302,Kyle Kuzma,13000000
872,Jeremy Lamb,0
1224,Zach LaVine,37096500
877,Jake Layman,0
260,Jalen Lecque,0
1512,Damion Lee,2133278
1500,Saben Lee,2266640
1431,Alex Len,3918600
1211,Kawhi Leonard,42492492
1604,Meyers Leonard,713558
1269,Caris LeVert,18796296
883,Kira Lewis Jr.,0
1214,Damian Lillard,42492492
1422,Nassir Little,4171548
1355,Kevon Looney,8000000
1295,Brook Lopez,13906976
1462,Robin Lopez,2905851
1241,Kevin Love,30556968
1248,Kyle Lowry,28333334
896,Timothé Luwawu-Cabarrot,0
1481,Trey Lyles,2625000
278,Thon Maker,0
899,Théo Maledon,0
280,Karim Mané,0
1533,Terance Mann,1930681
282,Nico Mannion,0
283,Boban Marjanović,0
1285,Lauri Markkanen,16475454
1556,Naji Marshall,1782621
1373,Caleb Martin,6479000
1367,Cody Martin,7000000
909,Kelan Martin,0
910,Kenyon Martin Jr.,0
290,Frank Mason III,0
1519,Garrison Mathews,2000000
912,Dakota Mathias,0
1467,Wesley Matthews,2905851
1475,Tyrese Maxey,2726880
1657,Skylar Mays,116574
1233,CJ McCollum,33333333
921,T.J. McConnell,0
1507,Jaden McDaniels,2161440
1536,Jalen McDaniels,1930681
1297,Doug McDermott,13750000
301,Sean McDermott,0
1392,JaVale McGee,5461219
1496,Rodney McGruder,2298385
928,Alfonzo McKinnie,0
1508,Jordan McLaughlin,2160000
931,Ben McLemore,0
307,Nicolò Melli,0
1352,De'Anthony Melton,8250000
1588,Sam Merrill,1105522
1538,Chimezie Metu,1910860
1218,Khris Middleton,37984276
312,Darius Miller,0
937,Patty Mills,0
939,Paul Millsap,0
1524,Shake Milton,1997718
1238,Donovan Mitchell,30913750
317,Adam Mokoka,0
1332,Malik Monk,9472219
319,E'Twaun Moore,0
1309,Ja Morant,12119440
954,Juwan Morgan,0
1286,Marcus Morris,16372093
1463,Markieff Morris,2905851
1337,Monte Morris,9125000
961,Mychal Mulder,0
1279,Dejounte Murray,17071120
1235,Jamal Murray,31650600
1442,Mike Muscala,3500000
329,Sviatoslav Mykhailiuk,0
967,Abdel Nader,0
969,Larry Nance Jr.,0
1436,Aaron Nesmith,3804360
1487,Raul Neto,2463490
1443,Georges Niang,3465000
1482,Zeke Nnaji,2617800
1335,Nerlens Noel,9391069
1534,Jaylen Nowell,1930681
1518,Frank Ntilikina,2036318
1396,Kendrick Nunn,5250000
340,Jusuf Nurkić,0
981,David Nwaba,0
1473,Jordan Nwora,2800000
1336,Royce O'Neale,9200000
985,Semi Ojeleye,0
345,Jahlil Okafor,0
1445,Chuma Okeke,3433320
1530,Josh Okogie,1968175
1375,Onyeka Okongwu,6395160
1366,Isaac Okoro,7040880
1540,KZ Okpala,1902133
1345,Victor Oladipo,8750000
1305,Kelly Olynyk,12804878
995,Miye Oni,0
1360,Cedi Osman,7426088
997,Daniel Oturu,0
998,Kelly Oubre Jr.,0
1003,Eric Paschall,0
359,Anžejs Pasečņiks,0
360,Patrick Patterson,0
1247,Chris Paul,28400000
1381,Cameron Payne,6000000
1006,Elfrid Payton,0
1008,Norvel Pelle,0
1010,Reggie Perry,0
1528,Theo Pinson,1968175
1338,Mason Plumlee,9080417
1334,Jakob Poeltl,9398148
369,Vincent Poirier,0
1448,Aleksej Pokusevski,3261480
1433,Jordan Poole,3901399
1019,Michael Porter Jr.,0
373,Otto Porter,0
1318,Bobby Portis,10843350
375,Kristaps Porziņģis,0
1315,Dwight Powell,11080125
1282,Norman Powell,16758621
1364,Taurean Prince,7100000
1502,Payton Pritchard,2239200
1494,Immanuel Quickley,2316240
1035,Jahmi'us Ramsey,0
383,Chasson Randle,0
1253,Julius Randle,23760000
1383,Cam Reddish,5954454
386,J.J. Redick,0
1557,Paul Reed,1782621
1535,Naz Reid,1930681
1554,Nick Richards,1782621
1308,Josh Richardson,12196094
1468,Austin Rivers,2905851
1281,Duncan Robinson,16902000
393,Glenn Robinson III,0
394,Jerome Robinson,0
1280,Mitchell Robinson,17045454
1492,Isaiah Roby,2330681
1055,Rajon Rondo,0
1291,Derrick Rose,14520730
1311,Terrence Ross,11500000
1258,Terry Rozier,21486316
1385,Ricky Rubio,5853659
1237,D'Angelo Russell,31377750
1261,Domantas Sabonis,21100000
405,Luka Šamanić,0
406,JaKarr Sampson,0
407,Dario Šarić,0
408,Tomáš Satoranský,0
1071,Dennis Schröder,0
410,Mike Scott,0
1283,Collin Sexton,16700000
1331,Landry Shamet,9500000
1226,Pascal Siakam,35448672
1644,Chris Silva,211045
1225,Ben Simmons,35448672
1257,Anfernee Simons,22321429
1086,Deividas Sirvydis,0
1277,Marcus Smart,17207142
1090,Dennis Smith Jr.,0
1092,Ish Smith,0
1408,Jalen Smith,4670160
1098,Tony Snell,0
424,Ray Spalding,0
1100,Cassius Stanley,0
1555,Lamar Stevens,1782621
1444,Isaiah Stewart,3433320
1553,Max Strus,1815677
1527,Edmond Sumner,1968175
1365,Jae'Sean Tate,7065217
1242,Jayson Tatum,30351780
432,Jeff Teague,0
1399,Garrett Temple,5155500
1116,Tyrell Terry,0
1346,Daniel Theis,8694369
1120,Brodric Thomas,0
1125,Matt Thomas,0
1129,Tristan Thompson,0
439,Sindarius Thornwell,0
1414,Matisse Thybulle,4379526
1133,Xavier Tillman Sr.,0
1394,Obi Toppin,5348280
1513,Juan Toscano-Anderson,2133278
1229,Karl-Anthony Towns,33833400
1138,Gary Trent Jr.,0
1139,P.J. Tucker,0
1227,Myles Turner,35096500
448,Jonas Valančiūnas,0
1145,Denzel Valentine,0
1415,Jarred Vanderbilt,4374000
1259,Fred VanVleet,21250000
1413,Devin Vassell,4437000
1552,Gabe Vincent,1815677
1586,Noah Vonleh,1160955
455,Nikola Vučević,0
1532,Dean Wade,1930681
1543,Moritz Wagner,1878720
1222,Kemba Walker,37281261
459,Lonnie Walker,0
1206,John Wall,47345760
1161,Brad Wanamaker,0
462,T.J. Warren,0
1163,P.J. Washington,0
1526,Yuta Watanabe,1968175
1167,Tremont Waters,0
1169,Paul Watson,0
1170,Quinndary Weatherspoon,0
1207,Russell Westbrook,47080179
1361,Coby White,7413955
1278,Derrick White,17142857
1175,Hassan Whiteside,0
1231,Andrew Wiggins,33616770
1419,Grant Williams,4306281
1522,Kenrich Williams,2000000
1183,Lou Williams,0
1358,Patrick Williams,7775400
1321,Robert Williams,10714287
1299,Zion Williamson,13534817
1187,D.J. Wilson,0
1426,Dylan Windler,4037277
1191,Cassius Winston,0
1330,James Wiseman,9603360
1293,Christian Wood,14317459
484,Robert Woodard,0
1357,Delon Wright,7804878
1356,Thaddeus Young,8000000
1223,Trae Young,37096500
1603,Cody Zeller,743922
1326,Ivica Zubac,10123457
493,Santi Aldama,0
1576,Jose Alvarado,1563518
501,Justin Anderson,0
509,Trevor Ariza,0
513,Joel Ayayi,0
1581,Dalano Banton,1563518
523,Cat Barber,0
1359,Scottie Barnes,7644600
528,Paris Bass,0
1479,Charles Bassey,2674742
540,D?vis Bert?ns,0
549,Bogdan Bogdanovi?,0
550,Bojan Bogdanovi?,0
1561,Leandro Bolmaro,1709300
555,Brandon Boston Jr.,0
1416,James Bouknight,4362240
1545,Oshae Brissett,1846738
566,Armoni Brooks,0
570,Charlie Brown Jr.,0
572,Chaundee Brown Jr.,0
573,Greg Brown III,0
581,Shaq Buchanan,0
1563,Jared Butler,1674655
590,Vlatko ?an?ar,0
591,Devin Cannady,0
601,Ahmad Caver,0
1598,Justin Champagnie,853241
603,Zylan Cheatham,0
1491,Josh Christopher,2372160
610,Nic Claxton,0
1362,Zach Collins,7350000
614,Darren Collison,0
617,Tyler Cook,0
618,Sharife Cooper,0
619,Petr Cornelie,0
628,Jarron Cumberland,0
1322,Cade Cunningham,10552800
636,Gabriel Deck,0
1351,Dewayne Dedmon,8283688
638,Sam Dekker,0
639,Javin DeLaurier,0
1614,Mamadi Diakite,508891
642,Cheick Diallo,0
649,Luka Don?i?,0
1571,Ayo Dosunmu,1563518
1629,Jeff Dowtin,508891
660,Goran Dragi?,0
1430,Chris Duarte,3936960
664,David Duke Jr.,0
1596,Kris Dunn,1000001
667,Jaime Echenique,0
1566,Kessler Edwards,1637966
671,Rob Edwards,0
677,James Ennis III,0
686,Malik Fitts,0
690,Aleem Ford,0
694,Melvin Frazier,0
697,Enes Freedom,0
707,Marcus Garrett,0
1486,Usman Garuba,2471160
1623,Luka Garza,508891
1376,Josh Giddey,6287400
716,Freddie Gillespie,0
1584,Jordan Goodwin,1280206
724,Hassani Gravett,0
1333,Jalen Green,9441840
1499,Quentin Grimes,2277000
738,Tyler Hall,0
1466,Udonis Haslem,2905851
1565,Sam Hauser,1637966
759,Aaron Henry,0
762,Juancho Hernangómez,0
1559,Haywood Highsmith,1752638
1613,Malcolm Hill,508891
773,Jaylen Hoard,0
782,Scotty Hopson,0
787,Danuel House Jr.,0
1656,Jay Huff,116986
794,Feron Hunt,0
1503,Bones Hyland,2201520
804,Wes Iwundu,0
1484,Isaiah Jackson,2573760
807,Jaren Jackson Jr.,0
814,DeJon Jarreau,0
1407,Ty Jerome,4728948
1648,Alize Johnson,192293
821,B.J. Johnson,0
823,David Johnson,0
1474,Jalen Johnson,2792640
826,Joe Johnson,0
1478,Keon Johnson,2681040
833,Nikola Joki?,0
1607,Carlik Jones,612162
838,Herbert Jones,0
839,Jemerrio Jones,0
1460,Kai Jones,2909040
848,Georgios Kalaitzakis,0
1646,Braxton Key,201802
853,George King,0
1638,Louis King,307089
1440,Corey Kispert,3552840
857,Brandon Knight,0
1568,Vit Krejci,1563518
867,Arnoldas Kulboka,0
1387,Jonathan Kuminga,5739840
1605,Anthony Lamb,694878
1579,Jock Landale,1563518
1390,Romeo Langford,5634257
884,Scottie Lewis,0
1572,Isaiah Livers,1563518
892,Didi Louzada,0
895,Gabriel Lundberg,0
1587,Sandro Mamukelashvili,1116112
1455,Tre Mann,3046200
903,Boban Marjanovi?,0
1577,Miles McBride,1563518
1650,Mac McClung,160856
926,Cameron McGriff,0
929,JaQuori McLaughlin,0
936,C.J. Miles,0
1405,Davion Mitchell,4833600
1349,Evan Mobley,8478720
948,Greg Monroe,0
1437,Moses Moody,3740160
1654,Xavier Moon,116986
951,Matt Mooney,0
955,Jaylen Morris,0
959,Emmanuel Mudiay,0
962,Ade Murkey,0
963,Trey Murphy III,0
966,Svi Mykhailiuk,0
970,RJ Nembhard Jr.,0
973,Malik Newman,0
1573,Daishen Nix,1563518
980,Jusuf Nurki?,0
992,Cameron Oliver,0
1595,Eugene Omoruyi,1013119
999,Jaysean Paige,0
1000,Trayvon Palmer,0
1001,Kevin Pangos,0
1002,Jabari Parker,0
1350,Gary Payton II,8300000
1011,Jamorko Pickett,0
1016,Yves Pons,0
1018,Kevin Porter Jr.,0
1020,Otto Porter Jr.,0
1023,Kristaps Porzi??is,0
1630,Micah Potter,508891
1026,Myles Powell,0
1029,Joshua Primo,0
1599,Trevelin Queen,838891
1626,Neemias Queta,508891
1575,Austin Reaves,1563518
1539,Davon Reed,1902133
1050,Justin Robinson,0
1521,Jeremiah Robinson-Earl,2000000
1601,Matt Ryan,806097
1640,Olivier Sarr,257371
1067,Tomá Satoransk?,0
1663,Jordan Schakel,96514
1597,Admiral Schofield,877940
1072,Tre Scott,0
1666,Jay Scrubb,49719
