game_id,game_date,attendance
22000063,2020-12-31,15353
22000068,2020-12-31,15353
22000065,2020-12-31,15353
22000064,2020-12-31,15353
22000067,2020-12-31,15353
22000062,2020-12-31,15353
22000066,2020-12-31,0
22000074,2021-01-01,15353
22000077,2021-01-01,15353
22000075,2021-01-01,15353
22000070,2021-01-01,15353
22000071,2021-01-01,15353
22000076,2021-01-01,15353
22000069,2021-01-01,15353
22000073,2021-01-01,15353
22000072,2021-01-01,15353
22000078,2021-01-01,15353
22000082,2021-01-02,15353
22000084,2021-01-02,15353
22000079,2021-01-02,15353
22000080,2021-01-02,15353
22000081,2021-01-02,15353
22000083,2021-01-02,15353
22000092,2021-01-03,15353
22000085,2021-01-03,15353
22000088,2021-01-03,15353
22000087,2021-01-03,15353
22000089,2021-01-03,15353
22000091,2021-01-03,15353
22000086,2021-01-03,15353
22000090,2021-01-03,15353
22000099,2021-01-04,15353
22000095,2021-01-04,15353
22000098,2021-01-04,15353
22000100,2021-01-04,15353
22000093,2021-01-04,15353
22000097,2021-01-04,15353
22000101,2021-01-04,15353
22000094,2021-01-04,15353
22000096,2021-01-04,15353
22000106,2021-01-05,15353
22000102,2021-01-05,15353
22000103,2021-01-05,15353
22000105,2021-01-05,15353
22000104,2021-01-05,15353
22000109,2021-01-06,15353
22000117,2021-01-06,15353
22000107,2021-01-06,15353
22000114,2021-01-06,15353
22000111,2021-01-06,15353
22000110,2021-01-06,15353
22000115,2021-01-06,15353
22000112,2021-01-06,15353
22000113,2021-01-06,15353
22000108,2021-01-06,15353
22000116,2021-01-06,15353
22000118,2021-01-07,15353
22000121,2021-01-07,15353
22000120,2021-01-07,15353
22000119,2021-01-07,15353
22000122,2021-01-07,15353
22000123,2021-01-08,15353
22000132,2021-01-08,15353
22000124,2021-01-08,15353
22000129,2021-01-08,15353
22000127,2021-01-08,15353
22000131,2021-01-08,0
22000128,2021-01-08,15353
22000125,2021-01-08,15353
22000126,2021-01-08,15353
22000130,2021-01-08,15353
22000137,2021-01-09,15353
22000138,2021-01-09,15353
22000135,2021-01-09,15353
22000136,2021-01-09,15353
22000134,2021-01-09,15353
22000139,2021-01-09,15353
22000140,2021-01-09,15353
22000133,2021-01-09,15353
22000147,2021-01-10,15353
22000142,2021-01-10,15353
22000141,2021-01-10,15353
22000146,2021-01-10,15353
22000148,2021-01-10,15353
22000144,2021-01-10,15353
22000143,2021-01-10,15353
22000153,2021-01-11,15353
22000150,2021-01-11,15353
22000156,2021-01-11,15353
22000151,2021-01-11,0
22000152,2021-01-11,15353
22000155,2021-01-11,15353
22000149,2021-01-11,15353
22000161,2021-01-12,15353
22000159,2021-01-12,15353
22000162,2021-01-12,15353
22000163,2021-01-12,15353
22000157,2021-01-12,15353
22000158,2021-01-12,15353
22000165,2021-01-13,15353
22000169,2021-01-13,15353
22000172,2021-01-13,15353
22000168,2021-01-13,15353
22000164,2021-01-13,15353
22000170,2021-01-13,15353
22000173,2021-01-13,15353
22000175,2021-01-14,15353
22000177,2021-01-14,15353
22000174,2021-01-14,15353
22000176,2021-01-14,15353
22000178,2021-01-14,15353
22000182,2021-01-15,15353
22000188,2021-01-15,15353
22000186,2021-01-15,0
22000181,2021-01-15,15353
22000184,2021-01-15,15353
22000187,2021-01-15,15353
22000180,2021-01-15,15353
22000191,2021-01-16,15353
22000195,2021-01-16,15353
22000190,2021-01-16,15353
22000193,2021-01-16,15353
22000192,2021-01-16,15353
22000189,2021-01-16,15353
22000196,2021-01-17,15353
22000200,2021-01-17,15353
22000198,2021-01-17,15353
22000202,2021-01-17,15353
22000201,2021-01-17,15353
22000207,2021-01-18,15353
22000208,2021-01-18,15353
22000209,2021-01-18,15353
22000205,2021-01-18,15353
22000206,2021-01-18,15353
22000210,2021-01-18,15353
22000211,2021-01-18,15353
22000212,2021-01-18,0
22000203,2021-01-18,15353
22000214,2021-01-19,15353
22000213,2021-01-19,15353
22000217,2021-01-20,15353
22000219,2021-01-20,15353
22000224,2021-01-20,15353
22000223,2021-01-20,15353
22000220,2021-01-20,15353
22000221,2021-01-20,15353
22000222,2021-01-20,15353
22000216,2021-01-20,0
22000218,2021-01-20,15353
22000226,2021-01-21,0
22000227,2021-01-21,15353
22000228,2021-01-21,15353
22000233,2021-01-22,15353
22000237,2021-01-22,15353
22000232,2021-01-22,15353
22000234,2021-01-22,15353
22000238,2021-01-22,15353
22000241,2021-01-22,15353
22000230,2021-01-22,0
22000229,2021-01-22,15353
22000239,2021-01-22,15353
22000231,2021-01-22,15353
22000236,2021-01-22,15353
22000244,2021-01-23,15353
22000242,2021-01-23,15353
22000246,2021-01-23,15353
22000245,2021-01-23,15353
22000243,2021-01-23,15353
22000248,2021-01-23,15353
22000247,2021-01-23,15353
22000254,2021-01-24,0
22000256,2021-01-24,15353
22000250,2021-01-24,15353
22000249,2021-01-24,15353
22000252,2021-01-24,15353
22000253,2021-01-24,15353
22000251,2021-01-24,15353
22000267,2021-01-25,15353
22000265,2021-01-25,15353
22000258,2021-01-25,15353
22000260,2021-01-25,15353
22000257,2021-01-25,15353
22000262,2021-01-25,15353
22000261,2021-01-25,15353
22000266,2021-01-25,15353
22000259,2021-01-25,3167
22000268,2021-01-26,1180
22000270,2021-01-26,1932
22000269,2021-01-26,2996
22000276,2021-01-27,15353
22000273,2021-01-27,3216
22000275,2021-01-27,0
22000281,2021-01-27,15353
22000271,2021-01-27,15353
22000282,2021-01-27,15353
22000272,2021-01-27,1944
22000279,2021-01-27,750
22000277,2021-01-27,15353
22000280,2021-01-27,15353
