primary_key_composed,season_id,player_id,player_name,team_id,team_abbreviation,position,age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,divisor_pie,pie
1471_2021_MIA,2021,1471,Precious Achiuwa,1610612748,MIA,PF,21,28,2,14.6,2.6,4.4,0.59,0.0,0.0,0.0,2.6,4.4,0.59,0.59,1.3,2.4,0.561,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.9,6.5,5.300000000000001,0.0007468996617812853
2_2021_MIL,2021,2,Jaylen Adams,1610612749,MIL,PG,24,6,0,2.8,0.2,1.3,0.125,0.0,0.3,0.0,0.2,1.0,0.167,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.2,0.3,-0.20000000000000007,-1.9887634863023922e-05
1274_2021_NOP,2021,1274,Steven Adams,1610612740,NOP,C,27,27,27,28.1,3.5,5.8,0.603,0.0,0.0,0.0,3.5,5.7,0.606,0.603,1.1,2.3,0.468,4.3,4.6,8.9,2.1,1.0,0.6,1.7,1.9,8.0,11.05,0.0015185872328729473
1243_2021_MIA,2021,1243,Bam Adebayo,1610612748,MIA,C,23,26,26,33.6,7.4,12.9,0.573,0.1,0.2,0.4,7.3,12.7,0.576,0.576,5.1,6.0,0.841,1.9,7.3,9.2,5.3,1.0,1.0,3.0,2.6,19.9,22.95,0.003234216459977452
494_2021_SAS,2021,494,LaMarcus Aldridge,1610612759,SAS,C,35,18,18,26.7,5.9,12.5,0.476,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,11.45,0.0016617081489006603
6_2021_PHO,2021,6,Ty-Shon Alexander,1610612756,PHX,SG,22,3,0,2.7,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,-0.7,-7.153806847215125e-05
1402_2021_NOP,2021,1402,Nickeil Alexander-Walker,1610612740,NOP,SG,22,23,3,19.2,3.3,8.2,0.41,1.0,3.8,0.276,2.3,4.4,0.525,0.473,1.1,1.4,0.781,0.2,2.4,2.7,2.0,1.1,0.3,1.3,1.7,8.8,6.350000000000001,0.0008726723012437301
1341_2021_MEM,2021,1341,Grayson Allen,1610612763,MEM,SG,25,19,8,23.9,3.2,7.4,0.429,2.3,5.3,0.436,0.8,2.1,0.41,0.586,1.7,1.9,0.892,0.4,2.5,2.9,2.1,1.0,0.2,1.1,1.3,10.4,9.499999999999998,0.0012176365034606508
1265_2021_BRK,2021,1265,Jarrett Allen,1610612751,BKN,C,22,12,5,26.7,3.7,5.4,0.677,0.0,0.0,0.0,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,16.6,0.0018764483128921043
1265_2021_CLE,2021,1265,Jarrett Allen,1610612739,CLE,C,22,16,5,25.9,4.9,7.8,0.624,0.1,0.3,0.25,4.8,7.6,0.636,0.628,3.4,4.4,0.761,2.8,5.2,7.9,1.6,0.4,1.7,1.3,1.4,13.2,16.05,0.0026954404232093377
