primary_key_composed,season_id,player_id,player_name,team_id,team_abbreviation,position,age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,divisor_pie,pie,Predicted_PIE_XGB
511_2021_MIL,2021,511,D.J. Augustin,1610612749,MIL,PG,33,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.286,0.453,1.3,1.4,0.895,0.4,0.8,1.2,3.0,0.5,0.0,0.8,0.7,5.9,5.400000000000001,0.0005369661413016,0.00061283284
1404_2021_WAS,2021,1404,Deni Avdija,1610612764,WAS,SF,20,22,16,22.9,2.5,6.0,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8,6.450000000000001,0.0008695652173913,0.0010809792
1240_2021_PHO,2021,1240,Deandre Ayton,1610612756,PHX,C,22,27,27,32.1,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1.0,2.1,3.4,13.9,16.550000000000004,0.001691364333163,0.0020519604
1506_2021_UTA,2021,1506,Udoka Azubuike,1610612762,UTA,C,21,12,0,4.1,0.3,0.6,0.571,0.0,0.0,0.0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0,0.7,8.172796263864565e-05,0.00018446014
24_2021_ORL,2021,24,Dwayne Bacon,1610612753,ORL,SG,25,29,20,24.9,4.1,9.6,0.423,1.1,2.9,0.373,3.0,6.8,0.444,0.478,1.5,1.9,0.8,0.4,2.7,3.1,1.0,0.8,0.1,0.7,1.7,10.7,7.149999999999999,0.0011932576769025,0.0010182677
517_2021_SAC,2021,517,Marvin Bagley III,1610612758,SAC,PF,21,25,25,24.9,5.1,10.8,0.476,1.0,2.8,0.371,4.1,8.0,0.513,0.524,1.5,2.9,0.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8,9.699999999999998,0.001399913407418,0.0016775063
1347_2021_CHO,2021,1347,LaMelo Ball,1610612766,CHA,PG,19,28,8,27.7,5.4,12.4,0.437,1.8,5.1,0.354,3.6,7.3,0.495,0.51,2.0,2.5,0.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6,14.949999999999996,0.0022113748983063,0.0020103597
519_2021_NOP,2021,519,Lonzo Ball,1610612740,NOP,PG,23,25,25,30.9,5.2,12.2,0.424,2.9,7.6,0.381,2.3,4.6,0.496,0.543,0.8,1.1,0.741,0.6,3.7,4.3,4.7,1.2,0.5,2.0,2.5,14.0,12.35,0.0016972445543874,0.0017147218
1323_2021_ORL,2021,1323,Mo Bamba,1610612753,ORL,C,22,13,0,8.7,2.2,4.2,0.519,0.3,1.2,0.267,1.8,3.0,0.615,0.556,0.2,0.4,0.6,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8,5.2,0.00086782376502,0.0005742846
1514_2021_MEM,2021,1514,Desmond Bane,1610612763,MEM,SG,22,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.482,1.7,3.5,0.486,0.616,0.7,0.9,0.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3,7.849999999999999,0.001006152268649,0.0009429395
1271_2021_SAC,2021,1271,Harrison Barnes,1610612758,SAC,PF,28,27,27,35.1,5.3,11.0,0.48,1.7,4.3,0.388,3.6,6.7,0.539,0.556,3.6,4.3,0.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8,16.850000000000005,0.002431808341752,0.002077965
1317_2021_NYK,2021,1317,RJ Barrett,1610612752,NYK,SG,20,30,30,33.7,6.2,14.6,0.428,1.0,3.4,0.304,5.2,11.2,0.466,0.463,3.0,4.0,0.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5,12.15,0.0017984014209591,0.0019456457
1289_2021_DEN,2021,1289,Will Barton,1610612743,DEN,SF,30,25,21,29.8,4.4,10.0,0.436,1.6,4.0,0.404,2.8,6.0,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6,9.85,0.0011700421690324,0.0013639524
1544_2021_SAS,2021,1544,Keita Bates-Diop,1610612759,SAS,SF,25,8,0,3.4,0.0,1.1,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.6,0.8,0.833,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.6,0.0499999999999997,7.256367462448269e-06,6.346789e-05
1266_2021_LAC,2021,1266,Nicolas Batum,1610612746,LAC,SF,32,27,27,29.9,3.3,6.8,0.492,2.1,4.6,0.456,1.2,2.1,0.569,0.648,1.0,1.1,0.867,0.9,4.0,4.9,2.3,1.4,0.4,0.7,1.7,9.7,12.05,0.0013235213356032,0.0012612122
35_2021_TOR,2021,35,Aron Baynes,1610612761,TOR,C,34,25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1.0,0.3,0.3,0.8,2.5,5.6,4.900000000000001,0.0007333133792277,0.0007538246
532_2021_GSW,2021,532,Kent Bazemore,1610612744,GSW,SF,31,27,0,16.6,2.5,4.9,0.515,1.0,2.3,0.459,1.5,2.6,0.563,0.621,0.9,1.1,0.8,0.5,2.6,3.1,1.6,0.8,0.6,1.0,2.2,7.0,6.750000000000001,0.0009481002879415,0.0008482187
1420_2021_OKC,2021,1420,Darius Bazley,1610612760,OKC,PF,20,28,28,31.1,4.5,11.5,0.393,1.5,5.3,0.286,3.0,6.3,0.483,0.458,1.6,2.1,0.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1.0,12.2,11.7,0.0019431988041853,0.0016721933
1210_2021_WAS,2021,1210,Bradley Beal,1610612764,WAS,SG,27,24,24,35.3,11.4,24.0,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.896,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8,24.45,0.0032962588473205,0.003008272
